gloss,path
BIRTHDAY2024424,media/SG ASL Dictionary/ASL B/SG ASL Birthday 2024-4-24 Upload/Documentation/SG ASL Birthday 2024-4-24 CC.mp4
BILLOW(ALT)2024418,media/SG ASL Dictionary/ASL B/SG ASL Billow (Alt) 2024-4-18 Upload/Documentation/SG ASL Billow (Alt) 2024-4-18 CC.mp4
BABBLE(ALT),media/SG ASL Dictionary/ASL B/SG ASL Babble (Alt) 2 2023-11-21 Upload/Documentation/SG ASL Babble (Alt) 2 2023-11-21 CC.mp4
BELOW(ALT)2024320,media/SG ASL Dictionary/ASL B/SG ASL Below (Alt) 2024-3-20 Upload/Documentation/SG ASL Below (Alt) 2024-3-20 CC.mp4
BP202475,media/SG ASL Dictionary/ASL B/SG ASL BP 2024-7-5 Upload/Documentation/SG ASL BP 2024-7-5 CC.mp4
BATHTIME202425,media/SG ASL Dictionary/ASL B/SG ASL Bathtime 2024-2-5 Upload/Documentation/SG ASL Bathtime 2024-2-5 CC.mp4
BLACKPEPPER,media/SG ASL Dictionary/ASL B/SG ASL Black Pepper 1 2024-4-30 Upload/Documentation/SG ASL Black Pepper 1 2024-4-30 CC.mp4
BLOCKPREVENT2024514,media/SG ASL Dictionary/ASL B/SG ASL Block Prevent 2024-5-14 Upload/Documentation/SG ASL Block Prevent 2024-5-14 CC.mp4
BAT(ANIMAL),media/SG ASL Dictionary/ASL B/SG ASL Bat (Animal) 2 2024-1-31 Upload/Documentation/SG ASL Bat (Animal) 2 2024-1-31 CC.mp4
BADGE,media/SG ASL Dictionary/ASL B/SG ASL Badge 1 2023-12-13 Upload/Documentation/SG ASL Badge 1 2023-12-13 CC.mp4
BROOM202484,media/SG ASL Dictionary/ASL B/SG ASL Broom 2024-8-4 Upload/Documentation/SG ASL Broom 2024-8-4 CC.mp4
BOX,media/SG ASL Dictionary/ASL B/SG ASL Box 2 2024-7-3 Upload/Documentation/SG ASL Box 2 2024-7-3 CC.mp4
BORDERALT,media/SG ASL Dictionary/ASL B/SG ASL Border Alt 2 2024-6-19 Upload/Documentation/SG ASL Border Alt 2 2024-6-19 CC.mp4
BI2024415,media/SG ASL Dictionary/ASL B/SG ASL Bi 2024-4-15 Upload/Documentation/SG ASL Bi 2024-4-15 CC.mp4
BASEDON,media/SG ASL Dictionary/ASL B/SG ASL Based on 2 2024-1-21 Upload/Documentation/SG ASL Based on 2 2024-1-21 CC.mp4
BACKPACK(VARIANT),media/SG ASL Dictionary/ASL B/SG ASL Backpack (Variant) 2 2023-12-7 Upload/Documentation/SG ASL Backpack (Variant) 2 2023-12-7 CC.mp4
BARGIN(ALT),media/SG ASL Dictionary/ASL B/SG ASL Bargin (Alt) 4 2024-1-14 Upload/Documentation/SG ASL Bargin (Alt) 4 2024-1-14 CC.mp4
BED,media/SG ASL Dictionary/ASL B/SG ASL Bed 1 Handed 2024-2-27 Upload/Documentation/SG ASL Bed 1 Handed 2024-2-27 CC.mp4
BOARDTRUSTEE2024530,media/SG ASL Dictionary/ASL B/SG ASL Board Trustee 2024-5-30 Upload/Documentation/SG ASL Board Trustee 2024-5-30 CC.mp4
BABYSWEETHEART20231126,media/SG ASL Dictionary/ASL B/SG ASL Baby Sweetheart 2023-11-26 Upload/Documentation/SG ASL Baby Sweetheart 2023-11-26 CC.mp4
BAM,media/SG ASL Dictionary/ASL B/SG ASL Bam 3 2023-12-21 Upload/Documentation/SG ASL Bam 3 2023-12-21 CC.mp4
BUMPCOLLISION2024816,media/SG ASL Dictionary/ASL B/SG ASL Bump Collision 2024-8-16 Upload/Documentation/SG ASL Bump Collision 2024-8-16 CC.mp4
BOREOTHER2024620,media/SG ASL Dictionary/ASL B/SG ASL Bore Other 2024-6-20 Upload/Documentation/SG ASL Bore Other 2024-6-20 CC.mp4
BLOODTRANSFUSEALT2024518,media/SG ASL Dictionary/ASL B/SG ASL Blood Transfuse Alt 2024-5-18 Upload/Documentation/SG ASL Blood Transfuse Alt 2024-5-18 CC.mp4
